ID,TYPE,SEQ,SEGMENT,ISEQ,Longitude,Latitude,REAL_TIMESTAMP,ACCURACY,USER_ID,SLICE1M,SLICE2M,SLICE5M,SLICE15M,SLICE1H,SLICE2H,GRIDX,GRIDY,HIT,HIT2,SEG_DIST,SEG_DIST_COR,SEG_SEC,SEG_MOVE,SEG_SPEED,SEG_SPEED_MAX,SEG_SPEED_COR,stay,lowspeed,walk,run
236498221,1,3308,557,19,12.0747330001511,55.6177790813358,2016-06-30 17:05:00,5,34900,6301705,6301704,6301705,6301700,6301700,6301600,296,654,13,,149,134,1356,1,0.098820058997,0.109882005899,0.098820058997,0,0,1,0
236498277,1,3309,557,20,12.0747530720143,55.617832518945,2016-06-30 17:06:00,5,34900,6301706,6301706,6301705,6301700,6301700,6301600,297,654,13,,149,134,1356,1,0.098820058997,0.109882005899,0.098820058997,0,0,1,0
223035183,0,2376,372,1,12.0795244845465,55.616469904272,2016-07-02 02:56:43,5,34787,7020256,7020256,7020255,7020245,7020200,7020200,328,641,9,,349,339,1689,1,0.200710479573,0.206631142687,0.200710479573,0,0,1,0
223035200,0,473,123,1,12.0775562459264,55.6152298854429,2016-06-28 20:32:11,10,29227,6282032,6282032,6282030,6282030,6282000,6282000,316,626,12,,234,219,901,1,0.243063263041,0.259711431742,0.243063263041,0,0,1,0
241611632,1,2643,360,1,12.065634530781,55.6186453075793,2016-06-28 06:26:00,65,9361,6280626,6280626,6280625,6280615,6280600,6280600,239,661,32,,1,0,252,0,0,0.003968253968,0,1,0,0,0
241611648,1,1714,280,4,12.084251890502,55.6210550772841,2016-06-30 02:54:00,16,14287,6300254,6300254,6300250,6300245,6300200,6300200,355,693,43,,26,0,1932,0,0,0.013457556935,0,0,1,0,0
241611671,1,1715,280,5,12.084251890502,55.6210550772841,2016-06-30 02:55:00,18,14287,6300255,6300254,6300255,6300245,6300200,6300200,355,693,43,,26,0,1932,0,0,0.013457556935,0,0,1,0,0
241611674,1,2644,360,2,12.065634530781,55.6186453075793,2016-06-28 06:27:00,65,9361,6280627,6280626,6280625,6280615,6280600,6280600,239,661,32,,1,0,252,0,0,0.003968253968,0,1,0,0,0
241611701,1,2645,360,3,12.065634530781,55.6186453075793,2016-06-28 06:28:00,65,9361,6280628,6280628,6280625,6280615,6280600,6280600,239,661,32,,1,0,252,0,0,0.003968253968,0,1,0,0,0
241611704,1,1716,280,6,12.084235329513,55.6210465038149,2016-06-30 02:56:00,20,14287,6300256,6300256,6300255,6300245,6300200,6300200,355,693,43,,26,0,1932,0,0,0.013457556935,0,0,1,0,0
241611705,0,2646,360,4,12.0656480753808,55.6186577487682,2016-06-28 06:29:31,65,9361,6280629,6280628,6280625,6280615,6280600,6280600,239,661,32,,1,0,252,0,0,0.003968253968,0,1,0,0,0
241611737,1,2647,361,1,12.0656193763985,55.618654676808,2016-06-28 06:30:00,61,9361,6280630,6280630,6280630,6280630,6280600,6280600,239,661,32,,16,0,454,0,0,0.035242290748,0,1,0,0,0
241611740,1,1717,280,7,12.0842194736401,55.6210469028211,2016-06-30 02:57:00,21,14287,6300257,6300256,6300255,6300245,6300200,6300200,355,693,43,,26,0,1932,0,0,0.013457556935,0,0,1,0,0
