user_id,total_distance,total_duration,stay_distance,stay_duration,linger_distance,linger_duration,walk_distance,walk_duration,run_distance,run_duration,stay %,linger %,walk %,run %,mostcommonactivity
78,29778,480316,11,230295,35,41378,23029,207759,6703,884,0.479465602,0.086147453,0.43254649,0.001840455,1
79,3314,4568,0,1425,0,542,1799,2455,1515,146,0.311952715,0.118651489,0.537434326,0.031961471,3
80,48484,547586,63,138572,425,68841,43991,339339,4005,834,0.253059793,0.125717239,0.619699919,0.001523048,3
81,9464,259185,14,143702,15,38752,9266,76714,169,17,0.55443795,0.149514825,0.295981635,6.55902E-05,1
82,3563,19578,0,2776,0,1116,3563,15686,0,0,0.141791807,0.057002758,0.801205435,0,3
83,9256,82517,7,30388,57,14011,7627,37900,1565,218,0.368263509,0.169795315,0.459299296,0.00264188,3
84,68953,635465,13,224038,235,56546,40624,350743,28081,4138,0.352557576,0.088983658,0.551946999,0.006511767,3
85,39089,576703,26,283543,106,64911,38344,228132,613,117,0.491662086,0.112555336,0.3955797,0.000202877,1
86,4387,211423,0,57884,0,14188,4387,139351,0,0,0.27378289,0.067107174,0.659109936,0,3
87,33695,376913,12,181123,124,50630,33559,145160,0,0,0.480543255,0.134328081,0.385128664,0,1
88,49449,702869,90,354857,939,73629,42007,273044,6413,1339,0.504869328,0.10475494,0.388470682,0.001905049,1
89,84544,591685,21,265807,114,79192,57186,242476,27223,4210,0.449237348,0.133841487,0.409805893,0.007115272,1
90,49718,292530,24,83069,56,29067,24126,176759,25512,3635,0.283967456,0.099364168,0.6042423,0.012426076,3
91,42716,355181,12,20952,29,15766,34360,317020,8315,1443,0.058989642,0.044388636,0.892559005,0.004062717,3
92,20121,83897,2,13860,95,8982,9083,59170,10941,1885,0.16520257,0.107059847,0.705269557,0.022468026,3
93,32245,388502,5,39933,152,37775,27348,310252,4740,542,0.102787116,0.097232447,0.798585335,0.001395102,3
94,52862,634377,36,253794,179,101929,44905,277833,7742,821,0.400068098,0.16067575,0.437961969,0.001294183,3
95,83678,759140,107,244210,781,58846,67569,452003,15221,4081,0.321692968,0.077516664,0.595414548,0.00537582,3
96,4183,429838,1,542,0,51,4182,429244,0,1,0.00126094,0.000118649,0.998618084,2.32646E-06,3
97,67216,548655,74,151484,965,57397,62113,339037,4064,737,0.276100646,0.104614011,0.617942058,0.001343285,3
98,31945,513332,2,84014,45,207113,31898,222204,0,1,0.163664061,0.403467931,0.432866059,1.94806E-06,3
99,19487,366139,9,32237,4,42252,13059,290168,6415,1482,0.088045797,0.115398797,0.792507763,0.004047643,3
100,13309,313680,20,87492,123,39386,12879,186760,287,42,0.278921194,0.125561081,0.595383831,0.000133894,3
101,8399,640668,8,2024,2,96207,8389,542437,0,0,0.003159203,0.150166701,0.846674096,0,3
102,5611,51233,0,17203,0,14265,5611,19765,0,0,0.335779673,0.278433822,0.385786505,0,3
103,6615,26577,0,4717,0,5856,5488,15754,1127,250,0.177484291,0.220340896,0.592768183,0.00940663,3
104,80749,693681,43,207946,518,99812,58633,381700,21555,4223,0.299771797,0.143887464,0.550252926,0.006087813,3
105,56903,582327,168,143947,1251,47353,55430,391023,54,4,0.247192728,0.081316855,0.671483548,6.86899E-06,3
106,1184,1127,0,0,0,479,1184,648,0,0,0,0.425022183,0.574977817,0,3
107,16170,344100,6,55641,38,35422,14558,252687,1568,350,0.161700087,0.102941006,0.734341761,0.001017146,3
108,35409,297438,3,37463,10,18057,25353,240178,10043,1740,0.125952299,0.06070845,0.807489292,0.005849959,3
109,18236,357582,8,68757,20,17383,18208,271441,0,1,0.192283169,0.048612626,0.759101409,2.79656E-06,3
110,32592,500132,7,84026,50,11583,16937,403474,15598,1049,0.168007646,0.023159886,0.806735022,0.002097446,3
111,82554,602252,30,135773,149,59274,64280,404272,18095,2933,0.225442174,0.098420595,0.671267177,0.004870054,3
112,29289,577004,20,101978,64,42291,27976,432466,1229,269,0.176737076,0.073294119,0.749502603,0.000466201,3
113,31706,626892,46,74604,166,33137,31494,519151,0,0,0.119006145,0.052859185,0.828134671,0,3
114,141416,715452,60,280592,407,112031,83185,313855,57764,8974,0.392188435,0.156587724,0.438680722,0.01254312,3
115,51665,665240,28,322463,136,27654,46114,313557,5387,1566,0.484731826,0.04156996,0.471344177,0.002354038,1
116,55974,465994,10,172724,147,47801,44533,243762,11284,1707,0.370657133,0.102578574,0.523101156,0.003663137,3
117,37934,313482,0,84265,53,34757,21803,192300,16078,2160,0.268803312,0.11087399,0.61343235,0.006890348,3
118,22178,191035,7,77200,0,18494,16933,94002,5238,1339,0.404114429,0.096809485,0.492066899,0.007009187,3
119,17292,174916,17,31374,38,16960,14913,126210,2324,372,0.179366096,0.096960827,0.721546342,0.002126735,3
120,15748,646511,28,26350,133,8997,13294,610755,2293,409,0.040757234,0.013916237,0.944693903,0.000632627,3
121,21777,531414,3,40532,0,13668,16278,476271,5496,943,0.076271984,0.02572006,0.896233445,0.001774511,3
122,26368,534086,23,197913,203,33375,18427,301364,7715,1434,0.370563917,0.062489936,0.564261186,0.002684961,3
123,47473,442503,40,98206,135,23052,39656,319227,7642,2018,0.221932959,0.052094562,0.721412058,0.004560421,3
124,8500,468064,19,73373,9,64032,7309,330508,1163,151,0.156758477,0.136801805,0.706117112,0.000322605,3
125,3072,46002,0,7293,7,13565,3065,25144,0,0,0.158536585,0.294878484,0.546584931,0,3
126,10401,193650,2,72491,80,13093,10319,108065,0,1,0.374340305,0.067611671,0.558042861,5.16396E-06,3
